zip,city,state,latitude,longitude,timezone,dst
2112,Boston,MA,42.338947,-70.919635,-5,1
8628,Trenton,NJ,40.264708,-74.82295,-5,1
14219,Buffalo,NY,42.790708,-78.82717,-5,1
15268,Pittsburgh,PA,40.434436,-80.024817,-5,1
20075,Washington,DC,38.893311,-77.014647,-5,1
21211,Baltimore,MD,39.328957,-76.63361,-5,1
23228,Richmond,VA,37.621745,-77.48896,-5,1
29215,Columbia,SC,34.005992,-80.970766,-5,1
30336,Atlanta,GA,33.744007,-84.56032,-5,1
33129,Miami,FL,25.757227,-80.20656,-5,1
37220,Nashville,TN,36.069659,-86.77266,-6,1
45252,Cincinnati,OH,39.282824,-84.62514,-5,1
48207,Detroit,MI,42.352837,-83.02449,-5,1
55425,Minneapolis,MN,44.846765,-93.2449,-6,1
58108,Fargo,ND,46.934596,-97.229718,-6,1
60671,Chicago,IL,41.811929,-87.68732,-6,1
63126,Saint Louis,MO,38.552303,-90.37921,-6,1
68103,Omaha,NE,41.291736,-96.171104,-6,1
70144,New Orleans,LA,29.930433,-90.038021,-6,1
72219,Little Rock,AR,34.751918,-92.392487,-6,1
73123,Oklahoma City,OK,35.535989,-97.202331,-6,1
76150,Fort Worth,TX,32.771419,-97.291484,-6,1
80250,Denver,CO,39.738752,-104.408349,-7,1
83711,Boise,ID,43.459855,-116.243984,-7,1
84151,Salt Lake City,UT,40.668068,-111.908297,-7,1
85041,Phoenix,AZ,33.386995,-112.10076,-7,0
90047,Los Angeles,CA,33.958464,-118.30998,-8,1
97269,Portland,OR,45.173284,-122.259861,-8,1
99501,Anchorage,AK,61.216799,-149.87828,-9,1
96801,Honolulu,HI,24.859832,-168.021815,-10,0
